batchID,time(hr),process_phase,scenario,pH,biomass_conc(g/L),substrate_conc(g/L),product_conc(g/L),acetate_conc(g/L),viability,DO(%),kLa(hr1),gas_flow_rate(vvm),O2_uptake_rate(mmol/L/hr),agitation(rpm),ionic_strength(mol/L),TMP(cmHg),membrane_resistance(m1),flux(m/s),flux(LMH),power(W),filtration_time(hr),cumulative_eDNA(mg/L),cumulative_HCP(mg/L)
0,0.0,0,O2_limited,6.977669748945785,0.11898321001356173,164.92042123268345,0.0015426568010849379,0.05741328400542469,0.9538150452049653,2.057918319470419,1.6,0.04162106921964119,0.07345932818491212,80.0,0.15366963003888756,0.0,0.0,0.0,0.0,0.29491199999999984,0.0,0.0,0.0
0,0.2,0,O2_limited,6.977043985791822,0.12295026809696027,164.91208346763713,0.001888577418160076,0.05906880430139214,0.9526390096821707,3.7580951069281987,1.6,0.04162106921964119,0.08740426672880551,80.55462661674662,0.15390366588204302,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,0.4,0,O2_limited,6.976422945863574,0.12973122946057664,164.89859200807763,0.0024605623915926545,0.06071439147558379,0.9514623427711353,2.258034776358344,1.6,0.04162106921964119,0.09031844094557534,80.55462661674662,0.15312749413390808,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,0.6000000000000001,0,O2_limited,6.975806586265487,0.13442856128314254,164.88882485495807,0.0028674844324684656,0.06235010512673028,0.9502852597132248,1.1886259455626569,1.6,0.04162106921964119,0.09529968960776637,80.55462661674662,0.15365839531893544,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,0.8,0,O2_limited,6.975194864600117,0.13706433171889165,164.88276158413186,0.0031106089220363496,0.06397600449596991,0.9491084154268783,1.5163831565800145,1.6,0.04162106921964119,0.09875031800723938,80.55462661674662,0.1544103079868443,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,1.0,0,O2_limited,6.974587738960661,0.1404929368786864,164.87523187561416,0.003417792774432463,0.06559214846899408,0.947931404935948,0.9221865382516398,1.6,0.04162106921964119,0.1006865372618372,80.55462661674662,0.153933400296758,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,1.2000000000000002,0,O2_limited,6.973985167923643,0.14259475108553707,164.8700820983803,0.0036196562158314015,0.06719859557818011,0.9467551206863631,2.253344188177475,1.6,0.04162106921964119,0.10320516757833564,80.55462661674662,0.15418795279639674,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,1.4000000000000001,0,O2_limited,6.973387110541718,0.1477438804028452,164.85937187652038,0.004065809301476581,0.06879540400471103,0.9455793018147155,2.982023517927421,1.6,0.04162106921964119,0.1047491461743832,80.55462661674662,0.154523127818405,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,1.6,0,O2_limited,6.972793526336629,0.15451686614560825,164.84566050575518,0.004643106692194307,0.07038263158068277,0.9444035194035828,2.7354049502606776,1.6,0.04162106921964119,0.1085316619782501,80.55462661674662,0.15430155381231186,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,1.8,0,O2_limited,6.972204375292277,0.16110886211981876,164.83221417179487,0.005207550418006093,0.07196033579119868,0.943228732270386,4.570379674833874,1.6,0.04162106921964119,0.11350705180294372,80.55462661674662,0.1547403414725104,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,2.0,0,O2_limited,6.971619617847928,0.1713669566336694,164.81203987980055,0.006066864106022901,0.07352857377645149,0.9420533904824832,2.956615322159971,1.6,0.04162106921964119,0.11834948775957521,80.55462661674662,0.15515782542840312,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,2.2,0,O2_limited,6.971039214891541,0.17916296467415965,164.79624512304602,0.006731672818854201,0.07508740233379278,0.9408771274316678,0.49422399594444444,1.6,0.04162106921964119,0.12588501507402322,80.55462661674662,0.1565815806626079,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,2.4000000000000004,0,O2_limited,6.970463127753223,0.18041820270221226,164.79226896769265,0.006875090972620207,0.07663687791979003,0.9397027654783628,4.240540343918415,1.6,0.04162106921964119,0.1316119102058091,80.55462661674662,0.15649346521948712,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,2.6,0,O2_limited,6.9698913181987905,0.19128953578874514,164.77079713543705,0.007788097988191367,0.07817705665227129,0.9385281522910249,3.1980878773506944,1.6,0.04162106921964119,0.13253399962833806,80.55462661674662,0.15715235595153126,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,2.8000000000000003,0,O2_limited,6.969323748423464,0.2005602349747269,164.75213276312417,0.008575663411659206,0.07970799431235766,0.9373538862870944,3.4493700597195467,1.6,0.04162106921964119,0.1405200078784492,80.55462661674662,0.15628353098446468,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,3.0,0,O2_limited,6.968760381045665,0.2108811608885774,164.73147123742285,0.00944947194116118,0.08122974634648351,0.9361800085367955,3.7625353378659714,1.6,0.04162106921964119,0.1473302012185155,80.55462661674662,0.15824031012006862,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,3.2,0,O2_limited,6.968201179100929,0.22248852219647605,164.70837315861465,0.01042867232440633,0.08274236786840461,0.9350051025158275,0.8946273921643416,1.6,0.04162106921964119,0.1549118840572926,80.55462661674662,0.15757585678097452,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,3.4000000000000004,0,O2_limited,6.967646106035927,0.22569914426085516,164.70043213610592,0.010738919334883815,0.08424591366119419,0.9338309856997634,2.035895133044815,1.6,0.04162106921964119,0.16343857369407036,80.55462661674662,0.1574367164667005,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,3.6,0,O2_limited,6.967095125702591,0.23312430869292422,164.68479795432006,0.011387100284071944,0.08574043817922702,0.9326577570340752,3.3729425783824114,1.6,0.04162106921964119,0.1657970750931198,80.55462661674662,0.15795831576074804,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,3.8000000000000003,0,O2_limited,6.966548202352352,0.24490131244983254,164.6611811358435,0.01238521041871091,0.08722599555015166,0.9314837824156069,1.0359215981942542,1.6,0.04162106921964119,0.1712515510015428,80.55462661674662,0.15823639205086706,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,4.0,0,O2_limited,6.966005300630469,0.24904355927358326,164.6513343473917,0.012775366479598928,0.08870263957685075,0.9303104116829122,1.6804984830789755,1.6,0.04162106921964119,0.1799028588416795,80.55462661674662,0.1579720263618422,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
0,4.2,0,O2_limited,6.965466385570468,0.2558963949536006,164.63652005250398,0.013383363788225976,0.09017042373938965,0.9291370326681873,0.9283899967973092,1.6,0.04162106921964119,0.18294572553016764,80.55462661674662,0.15727936139710982,0.0,0.0,0.0,0.0,0.3010883490517068,0.0,0.0,0.0
